year,inflation
1970,0.100000001490116
1971,-0.100000001490116
1972,-0.200000002980232
1973,0.000000000000000
1974,-0.100000001490116
1975,0.100000001490116
1976,0.000000000000000
1977,0.300000011920929
1978,0.699999988079071
1979,1.100000023841860
1980,1.100000023841860
1981,1.299999952316280
1982,3.299999952316280
1983,0.600000023841858
1984,-0.899999976158142
1985,0.400000005960465
1986,1.899999976158140
1987,1.500000000000000
1988,1.600000023841860
1989,1.799999952316280
1990,5.599989891052250
1991,92.699996948242200
1992,1592.483642578130000
1993,874.245788574219000
1994,307.722625732422000
1995,197.414276123047000
1996,47.752010345459000
1997,14.761319160461400
1998,27.685688018798800
1999,85.746490478515600
2000,20.798765182495100
2001,21.477003097534200
2002,15.788733482360800
2003,13.663292884826700
2004,10.888606071472200
2005,12.685316085815400
2006,9.668648719787600
2007,9.007296562194820
2008,14.110767364502000
2009,11.647335052490200
2010,6.849390983581540
2011,8.440474510192870
2012,5.074727058410640
2013,6.754668235778810
2014,7.820171356201170
2015,15.534401893615700
2016,7.042434692382810
2017,3.683000000000000
2018,2.880000000000000
2019,4.469999790191650
2020,3.381659372379150
2021,6.694456000000000
2022,11.531440913630900
2023,5.859000000000000
